일자,기관 합계,기타법인,개인,외국인 합계,전체
"2021/07/20","-1300","1238","155","-93","0"
"2021/07/19","-6442","-3242","-7422","17106","0"
"2021/07/16","-5829","506","3941","1382","0"
"2021/07/15","506","-3218","-3256","5968","0"
"2021/07/14","-5272","-760","-3605","9637","0"
"2021/07/13","4679","2552","-16000","8769","0"
"2021/07/12","1803","3004","-15072","10265","0"
"2021/07/09","2095","-5248","-21892","25045","0"
"2021/07/08","-86097","1180","68721","16196","0"
"2021/07/07","-21434","-2325","8244","15515","0"
"2021/07/06","-12622","508","8120","3994","0"
"2021/07/05","-20696","-828","1554","19970","0"
"2021/07/02","-21490","992","-259","20757","0"
"2021/07/01","-13058","-2840","4639","11259","0"
"2021/06/30","-5620","-535","-541","6696","0"
"2021/06/29","-9739","-1351","-2069","13159","0"
"2021/06/28","-10845","1951","-2841","11735","0"
"2021/06/25","-9076","-6555","-25974","41605","0"
"2021/06/24","-4522","-1019","-2369","7910","0"
"2021/06/23","-4735","-2924","-38","7697","0"
"2021/06/22","-1109","1331","5127","-5349","0"
"2021/06/21","-8000","-3648","-1200","12848","0"
"2021/06/18","-5584","-2385","-7205","15174","0"
"2021/06/17","-2372","-3180","-14241","19793","0"
"2021/06/16","1141","-565","-4254","3678","0"
"2021/06/15","-2237","-2481","-4170","8888","0"
"2021/06/14","5556","-1434","-4166","44","0"
"2021/06/11","6778","-5955","-15459","14636","0"
"2021/06/10","-88802","5918","64317","18567","0"
"2021/06/09","-34056","-1825","42030","-6149","0"
"2021/06/08","-15776","759","6796","8221","0"
"2021/06/07","-41840","-6131","15025","32946","0"
"2021/06/04","-30866","-1321","10118","22069","0"
"2021/06/03","-24093","821","1534","21738","0"
"2021/06/02","-871","-3499","-3678","8048","0"
"2021/06/01","-17459","6850","-7300","17909","0"
"2021/05/31","-13586","-6349","-18005","37940","0"
"2021/05/28","-16820","-3546","-24767","45133","0"
"2021/05/27","-3918","-89","-15992","19999","0"
"2021/05/26","-7763","-2101","-12129","21993","0"
"2021/05/25","-5001","-6056","3311","7746","0"
"2021/05/24","-5080","-1087","-4236","10403","0"
"2021/05/21","-9080","-996","-3790","13866","0"
"2021/05/20","-3055","-513","-337","3905","0"
"2021/05/18","-9312","-4347","-3706","17365","0"
"2021/05/17","-1391","-6924","-11373","19688","0"
"2021/05/14","10557","-3878","-27712","21033","0"
"2021/05/13","-94346","9213","76894","8239","0"
"2021/05/12","-28050","2232","30783","-4965","0"
"2021/05/11","-20169","-4233","12771","11631","0"
"2021/05/10","-23679","-131","30264","-6454","0"
"2021/05/07","-33210","1767","9223","22220","0"
"2021/05/06","-44394","-1721","7527","38588","0"
"2021/05/04","13203","-7012","-17774","11583","0"
"2021/05/03","-22332","-2078","-17103","41513","0"
"2021/04/30","-5571","-4648","-37307","47526","0"
"2021/04/29","-608","-2137","-5921","8666","0"
"2021/04/28","-14315","74","12610","1631","0"
"2021/04/27","-10500","1692","7191","1617","0"
"2021/04/26","-5512","896","919","3697","0"
"2021/04/23","-7614","-718","-8104","16436","0"
"2021/04/22","6252","-1758","3507","-8001","0"
"2021/04/21","-4340","195","3296","849","0"
"2021/04/20","2384","-455","-1709","-220","0"
"2021/04/19","-2273","-1349","3818","-196","0"
"2021/04/16","-5168","-719","-3609","9496","0"
"2021/04/15","-3442","-1405","3403","1444","0"
"2021/04/14","-6999","-1485","-9495","17979","0"
"2021/04/13","-5204","-2086","-11267","18557","0"
"2021/04/12","-617","-391","-12143","13151","0"
"2021/04/09","5109","-5106","-6163","6160","0"
"2021/04/08","-84567","2260","72184","10123","0"
"2021/04/07","-33630","95","34468","-933","0"
"2021/04/06","-34346","2074","13878","18394","0"
"2021/04/05","-45241","-12922","1561","56602","0"
"2021/04/02","-44811","11416","57","33338","0"
"2021/04/01","-6481","-4887","-23518","34886","0"
"2021/03/31","10343","-3070","-11786","4513","0"
"2021/03/30","-4859","-2689","-2064","9612","0"
"2021/03/29","-5597","-3469","-17201","26267","0"
"2021/03/26","-8677","1613","-16703","23767","0"
"2021/03/25","-5230","-2362","-73","7665","0"
"2021/03/24","-12756","-2643","5193","10206","0"
"2021/03/23","3882","-1939","6331","-8274","0"
"2021/03/22","2995","-1567","-16978","15550","0"
"2021/03/19","-7887","-618","-2097","10602","0"
"2021/03/18","7720","186","-6021","-1885","0"
"2021/03/17","-739","-433","11016","-9844","0"
"2021/03/16","5715","100","3664","-9479","0"
"2021/03/15","1966","-119","4920","-6767","0"
"2021/03/12","6350","-5579","-19538","18767","0"
"2021/03/11","-101593","4953","96949","-309","0"
"2021/03/10","-80060","-404","47414","33050","0"
"2021/03/09","-45984","3115","4831","38038","0"
"2021/03/08","-83457","5267","58292","19898","0"
"2021/03/05","-16395","-9075","13420","12050","0"
"2021/03/04","-21015","-528","1325","20218","0"
"2021/03/03","3091","2691","2831","-8613","0"
"2021/03/02","-6197","3793","2333","71","0"
"2021/02/26","-8891","-3761","20620","-7968","0"
"2021/02/25","4193","4711","-66310","57406","0"
"2021/02/24","-83","-2594","-1881","4558","0"
"2021/02/23","-775","3233","-15605","13147","0"
"2021/02/22","3426","324","11834","-15584","0"
"2021/02/19","-2436","1249","-46208","47395","0"
"2021/02/18","-714","-5895","8396","-1787","0"
"2021/02/17","-317","-5089","4482","924","0"
"2021/02/16","6135","-8052","-19302","21219","0"
"2021/02/15","2156","-8669","-17820","24333","0"
"2021/02/10","-83994","3571","75152","5271","0"
"2021/02/09","-53669","2794","40864","10011","0"
"2021/02/08","-66075","-1217","53346","13946","0"
"2021/02/05","-28808","885","-4899","32822","0"
"2021/02/04","-21413","-3678","231","24860","0"
"2021/02/03","-3512","-6766","8944","1334","0"
"2021/02/02","638","-6417","-10591","16370","0"
"2021/02/01","430","-3939","-1381","4890","0"
"2021/01/29","-2722","8219","-1460","-4037","0"
"2021/01/28","-6669","-70","5571","1168","0"
"2021/01/27","64","-10871","2193","8614","0"
"2021/01/26","-271","-5418","-23742","29431","0"
"2021/01/25","-1612","-8034","-24661","34307","0"
"2021/01/22","-1817","-11467","-23012","36296","0"
"2021/01/21","7887","-2407","-40948","35468","0"
"2021/01/20","-834","-15499","12587","3746","0"
"2021/01/19","1583","-8915","-3924","11256","0"
"2021/01/18","4872","-8320","-27999","31447","0"
"2021/01/15","-15618","-10940","-9019","35577","0"
"2021/01/14","-128481","1163","88258","39060","0"
"2021/01/13","-96447","2826","55606","38015","0"
"2021/01/12","-22205","602","-6570","28173","0"
"2021/01/11","-3078","-5390","-13902","22370","0"
"2021/01/08","-22662","7957","-14346","29051","0"
"2021/01/07","4133","4687","-23958","15138","0"
"2021/01/06","6277","-10520","22820","-18577","0"
"2021/01/05","-5127","-5195","9989","333","0"
"2021/01/04","-24310","-782","-21876","46968","0"
"2020/12/30","-33894","-7480","-14328","55702","0"
"2020/12/29","-4411","460","-19018","22969","0"
"2020/12/28","-30096","-10982","23588","17490","0"
"2020/12/24","-10263","-6598","-9669","26530","0"
"2020/12/23","2101","122","-6658","4435","0"
"2020/12/22","-10454","-4728","29230","-14048","0"
"2020/12/21","-15122","-8284","-4195","27601","0"
"2020/12/18","-6697","-7654","2348","12003","0"
"2020/12/17","-3781","-3503","-3312","10596","0"
"2020/12/16","-3287","-4878","-13786","21951","0"
"2020/12/15","-663","-596","-7329","8588","0"
"2020/12/14","-5899","-4687","1843","8743","0"
"2020/12/11","5440","-4406","-23497","22463","0"
"2020/12/10","-94517","5464","47345","41708","0"
"2020/12/09","-28901","964","17316","10621","0"
"2020/12/08","-43414","-3756","8722","38448","0"
"2020/12/07","-38435","-1932","27539","12828","0"
"2020/12/04","-33120","-4994","25318","12796","0"
"2020/12/03","-27632","-2389","7917","22104","0"
"2020/12/02","-8374","-6111","-11191","25676","0"
"2020/12/01","-13966","-6047","5461","14552","0"
"2020/11/30","-9272","-2969","-10917","23158","0"
"2020/11/27","-21621","-8016","-18613","48250","0"
"2020/11/26","-14075","-1990","3146","12919","0"
"2020/11/25","-18324","-51","-9980","28355","0"
"2020/11/24","-27508","-4975","-7427","39910","0"
"2020/11/23","-24581","-2015","-1156","27752","0"
"2020/11/20","-12509","-157","-4790","17456","0"
"2020/11/19","-7099","-569","9702","-2034","0"
"2020/11/18","-12151","-2951","-2811","17913","0"
"2020/11/17","-6701","-1677","-4968","13346","0"
"2020/11/16","-1428","-2784","-41166","45378","0"
"2020/11/13","1779","-3115","-37515","38851","0"
"2020/11/12","-90845","3718","21596","65531","0"
"2020/11/11","-42131","3947","34566","3618","0"
"2020/11/10","-2047","-208","21246","-18991","0"
"2020/11/09","-68343","-101","27432","41012","0"
"2020/11/06","-30345","-3979","-5066","39390","0"
"2020/11/05","-45932","5352","-4913","45493","0"
"2020/11/04","-2106","-4287","-1890","8283","0"
"2020/11/03","8498","-574","-26453","18529","0"
"2020/11/02","1372","-3856","-253","2737","0"
"2020/10/30","-13521","-394","43082","-29167","0"
"2020/10/29","-10610","-1245","6710","5145","0"
"2020/10/28","-6328","-1442","-1440","9210","0"
"2020/10/27","-9578","-223","-30182","39983","0"
"2020/10/26","-6708","703","-8739","14744","0"
"2020/10/23","-8551","-177","3127","5601","0"
"2020/10/22","-6033","-1790","2279","5544","0"
"2020/10/21","-6347","-3577","-8877","18801","0"
"2020/10/20","-5107","-951","-4080","10138","0"
"2020/10/19","-12662","-1802","1122","13342","0"
"2020/10/16","-5529","-216","7555","-1810","0"
"2020/10/15","-3750","-645","-3536","7931","0"
"2020/10/14","-9881","-2289","-6157","18327","0"
"2020/10/13","-2224","-3171","-16761","22156","0"
"2020/10/12","1561","-3785","-38361","40585","0"
"2020/10/08","-67974","2767","33095","32112","0"
"2020/10/07","-52938","-15","25982","26971","0"
"2020/10/06","-38085","-1071","32187","6969","0"
"2020/10/05","-59418","3501","16047","39870","0"
"2020/09/29","-13500","1945","402","11153","0"
"2020/09/28","-2016","-1087","-17049","20152","0"
"2020/09/25","8525","-1381","-6737","-407","0"
"2020/09/24","-14847","-316","6348","8815","0"
"2020/09/23","4858","-2235","-31602","28979","0"
"2020/09/22","-7081","-2333","24244","-14830","0"
"2020/09/21","-8024","-2150","-2183","12357","0"
"2020/09/18","-13130","-3155","-7591","23876","0"
"2020/09/17","-13802","-2856","2416","14242","0"
"2020/09/16","2931","-28","-16976","14073","0"
"2020/09/15","-4460","1274","-13855","17041","0"
"2020/09/14","579","-43","-23082","22546","0"
"2020/09/11","8257","-1593","-24041","17377","0"
"2020/09/10","-93664","4768","56674","32222","0"
"2020/09/09","-45686","8571","32403","4712","0"
"2020/09/08","-41047","4150","31469","5428","0"
"2020/09/07","-47971","2203","-12832","58600","0"
"2020/09/04","-103","-2559","-22951","25613","0"
"2020/09/03","-15134","180","-5680","20634","0"
"2020/09/02","-15620","898","5650","9072","0"
"2020/09/01","-10836","-562","8276","3122","0"
"2020/08/31","-17693","-1972","8346","11319","0"
"2020/08/28","3929","424","-22238","17885","0"
"2020/08/27","-3922","-282","-9108","13312","0"
"2020/08/26","-2976","-1664","-10134","14774","0"
"2020/08/25","-8105","1267","-20162","27000","0"
"2020/08/24","572","-4126","3663","-109","0"
"2020/08/21","7598","-970","-22311","15683","0"
"2020/08/20","4244","-1021","-9841","6618","0"
"2020/08/19","6741","1525","-18693","10427","0"
