일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2021/11/15","394.36","3.98","1.02","393.36","395.56","392.16","174939.0","8537190.0","1.872837902E9"
"2021/11/12","390.38","4.41","1.14","389.13","391.77","387.46","166337.0","9337284.0","1.853774691E9"
"2021/11/11","385.97","-0.27","-0.07","383.84","386.03","382.57","212910.0","1.1150759E7","1.828338042E9"
"2021/11/10","386.24","-4.12","-1.06","388.37","390.36","385.57","117561.0","6908341.0","1.8302202E9"
"2021/11/09","390.36","0.77","0.20","389.17","393.13","388.25","127585.0","7083503.0","1.849890497E9"
"2021/11/08","389.59","-0.27","-0.07","390.10","390.71","385.50","126069.0","7561869.0","1.845572097E9"
"2021/11/05","389.86","-1.68","-0.43","394.65","394.81","387.66","139113.0","8175681.0","1.850489637E9"
"2021/11/04","391.54","2.06","0.53","393.16","395.15","390.75","185411.0","1.0359146E7","1.859474434E9"
"2021/11/03","389.48","-5.34","-1.35","395.73","395.85","388.52","137222.0","6989418.0","1.849642174E9"
"2021/11/02","394.82","5.01","1.29","392.18","398.10","392.18","126752.0","7009440.0","1.874898767E9"
"2021/11/01","389.81","1.34","0.34","390.34","391.65","389.14","121440.0","6602017.0","1.852259821E9"
"2021/10/29","388.47","-5.42","-1.38","396.08","396.92","387.82","146473.0","8268182.0","1.846243549E9"
"2021/10/28","393.89","-1.59","-0.40","394.87","397.79","393.89","180655.0","9623792.0","1.872583762E9"
"2021/10/27","395.48","-3.59","-0.90","398.31","398.82","394.41","193851.0","7592190.0","1.882185904E9"
"2021/10/26","399.07","4.06","1.03","397.75","399.67","396.28","135399.0","6954036.0","1.897336624E9"
"2021/10/25","395.01","1.67","0.42","392.45","395.99","390.02","152056.0","7619707.0","1.878585769E9"
"2021/10/22","393.34","0.16","0.04","392.82","394.91","391.54","108299.0","6160691.0","1.86978505E9"
"2021/10/21","393.18","-0.56","-0.14","393.56","395.51","392.38","136386.0","7176123.0","1.870082912E9"
"2021/10/20","393.74","-1.67","-0.42","397.48","398.09","393.60","129247.0","7570788.0","1.873734296E9"
"2021/10/19","395.41","3.39","0.86","394.26","395.92","393.27","113851.0","6318251.0","1.884425281E9"
"2021/10/18","392.02","-1.17","-0.30","393.39","394.16","389.74","126680.0","6648535.0","1.869015134E9"
"2021/10/15","393.19","3.60","0.92","392.94","394.58","391.36","170785.0","8409156.0","1.874954741E9"
"2021/10/14","389.59","5.49","1.43","387.39","389.63","386.48","170131.0","9002329.0","1.85898178E9"
"2021/10/13","384.10","3.41","0.90","380.12","385.72","379.31","154270.0","8520630.0","1.831318717E9"
"2021/10/12","380.69","-6.73","-1.74","386.27","386.60","379.08","158572.0","9639747.0","1.814277186E9"
"2021/10/08","387.42","-0.72","-0.19","390.42","390.70","386.54","150217.0","8939922.0","1.841131846E9"
"2021/10/07","388.14","6.21","1.63","385.87","388.78","384.59","173712.0","9011318.0","1.844911043E9"
"2021/10/06","381.93","-6.08","-1.57","391.01","392.37","381.93","229529.0","1.1361351E7","1.814379627E9"
"2021/10/05","388.01","-6.78","-1.72","391.95","392.02","384.92","202464.0","1.1534065E7","1.846832025E9"
"2021/10/01","394.79","-6.51","-1.62","399.53","400.52","394.14","155625.0","8429867.0","1.882029349E9"
"2021/09/30","401.30","1.21","0.30","399.41","402.90","397.98","182825.0","1.0477258E7","1.912221259E9"
"2021/09/29","400.09","-6.11","-1.50","400.44","402.28","396.78","180585.0","1.0878594E7","1.90727194E9"
"2021/09/28","406.20","-4.77","-1.16","410.74","411.10","405.79","175591.0","1.0219088E7","1.932888116E9"
"2021/09/27","410.97","1.13","0.28","409.28","412.72","408.97","153145.0","8269103.0","1.955291879E9"
"2021/09/24","409.84","-0.62","-0.15","412.01","412.80","409.09","153819.0","8690314.0","1.94924041E9"
"2021/09/23","410.46","-0.53","-0.13","409.04","410.92","407.39","164545.0","9890972.0","1.951367523E9"
"2021/09/17","410.99","1.77","0.43","408.90","411.36","407.07","165788.0","9488969.0","1.956572852E9"
"2021/09/16","409.22","-3.63","-0.88","414.22","414.68","408.79","166060.0","8899436.0","1.950015699E9"
"2021/09/15","412.85","0.49","0.12","412.05","414.61","410.75","193193.0","9306534.0","1.967122388E9"
"2021/09/14","412.36","2.66","0.65","411.06","414.85","410.98","179782.0","1.1751359E7","1.963710612E9"
"2021/09/13","409.70","1.00","0.24","407.33","410.87","406.43","152910.0","9091011.0","1.950131892E9"
"2021/09/10","408.70","1.42","0.35","407.99","409.78","405.99","145028.0","9693995.0","1.947696696E9"
"2021/09/09","407.28","-7.26","-1.75","411.98","413.64","406.68","189641.0","1.216136E7","1.884557608E9"
"2021/09/08","414.54","-3.26","-0.78","416.35","417.62","413.34","182487.0","1.1652973E7","1.917065837E9"
"2021/09/07","417.80","-2.57","-0.61","419.85","419.88","416.28","134460.0","7267998.0","1.933747077E9"
"2021/09/06","420.37","1.15","0.27","418.99","420.74","417.85","151552.0","7650828.0","1.943139323E9"
"2021/09/03","419.22","3.33","0.80","417.67","419.78","416.40","147691.0","9043386.0","1.939239736E9"
"2021/09/02","415.89","-4.03","-0.96","419.19","420.20","414.99","146861.0","8446854.0","1.922883034E9"
"2021/09/01","419.92","0.13","0.03","419.17","421.31","417.16","151586.0","8969221.0","1.939527705E9"
"2021/08/31","419.79","8.29","2.01","411.69","419.90","409.67","170992.0","1.2495868E7","1.939907831E9"
"2021/08/30","411.50","1.26","0.31","414.15","414.85","410.04","145641.0","8034054.0","1.903337414E9"
"2021/08/27","410.24","-0.14","-0.03","408.63","411.79","406.81","132448.0","7960337.0","1.896787304E9"
"2021/08/26","410.38","-3.57","-0.86","414.49","415.74","409.79","174283.0","9351534.0","1.895952149E9"
"2021/08/25","413.95","1.47","0.36","414.01","416.03","410.63","176201.0","9375958.0","1.910426209E9"
"2021/08/24","412.48","7.90","1.95","408.47","412.94","408.26","165652.0","1.0073815E7","1.903831536E9"
"2021/08/23","404.58","3.80","0.95","404.32","407.82","401.63","166037.0","9602204.0","1.87255496E9"
"2021/08/20","400.78","-4.18","-1.03","406.64","408.35","399.18","197109.0","1.0570827E7","1.854823205E9"
"2021/08/19","404.96","-8.40","-2.03","410.84","412.93","404.91","192939.0","1.1034787E7","1.874519065E9"
"2021/08/18","413.36","2.05","0.50","410.92","415.38","408.46","184486.0","1.0338125E7","1.914671951E9"
"2021/08/17","411.31","-4.75","-1.14","415.50","417.23","410.31","207918.0","1.5534776E7","1.905064953E9"
"2021/08/13","416.06","-6.32","-1.50","421.38","422.04","413.64","221074.0","1.4427141E7","1.925109196E9"
"2021/08/12","422.38","-2.36","-0.56","423.17","425.53","421.42","251299.0","1.6010998E7","1.9509347E9"
"2021/08/11","424.74","-3.82","-0.89","427.16","428.88","424.30","170671.0","1.2988021E7","1.959576822E9"
"2021/08/10","428.56","-3.09","-0.72","433.01","433.11","427.28","174090.0","1.4009474E7","1.973998277E9"
"2021/08/09","431.65","-1.64","-0.38","431.57","433.16","430.05","140989.0","8075299.0","1.981026712E9"
"2021/08/06","433.29","-1.45","-0.33","434.85","436.61","432.27","143716.0","7835243.0","1.991276687E9"
"2021/08/05","434.74","-1.31","-0.30","436.46","437.85","434.24","267971.0","9015942.0","1.994949857E9"
"2021/08/04","436.05","6.07","1.41","431.60","436.71","430.16","166736.0","9511557.0","1.999436103E9"
"2021/08/03","429.98","3.19","0.75","426.65","429.98","426.42","151056.0","9352775.0","1.972447424E9"
"2021/08/02","426.79","2.88","0.68","426.29","426.85","422.86","117344.0","7694073.0","1.962009958E9"
"2021/07/30","423.91","-5.58","-1.30","428.12","428.21","423.91","143586.0","8864838.0","1.946959723E9"
"2021/07/29","429.49","0.34","0.08","430.58","431.19","428.18","112355.0","7186632.0","1.972910853E9"
"2021/07/28","429.15","0.93","0.22","427.30","429.71","425.34","132994.0","8264861.0","1.970384493E9"
"2021/07/27","428.22","0.75","0.18","430.14","431.15","427.89","142526.0","8030188.0","1.966711752E9"
"2021/07/26","427.47","-4.08","-0.95","433.14","433.28","427.46","146233.0","7822001.0","1.96207633E9"
"2021/07/23","431.55","0.17","0.04","431.75","433.23","430.27","173066.0","8879269.0","1.980809866E9"
"2021/07/22","431.38","5.38","1.26","428.75","431.93","428.65","182079.0","9222421.0","1.97944162E9"
"2021/07/21","426.00","-2.55","-0.60","430.99","431.29","425.82","212123.0","1.0220123E7","1.956944776E9"
"2021/07/20","428.55","-1.34","-0.31","427.14","428.78","425.99","163962.0","9736455.0","1.967586812E9"
"2021/07/19","429.89","-4.93","-1.13","432.25","432.25","428.94","152020.0","7371116.0","1.973865811E9"
"2021/07/16","434.82","-1.94","-0.44","436.24","436.24","432.85","149476.0","8707929.0","1.994822916E9"
"2021/07/15","436.76","3.19","0.74","434.24","436.85","433.12","152535.0","9160068.0","1.99801772E9"
"2021/07/14","433.57","-1.14","-0.26","434.47","434.57","431.75","147017.0","8511733.0","1.984746852E9"
"2021/07/13","434.71","3.43","0.80","432.39","435.21","432.36","148613.0","8208282.0","1.989275515E9"
"2021/07/12","431.28","3.44","0.80","429.33","432.02","429.30","134960.0","7201832.0","1.974337499E9"
"2021/07/09","427.84","-4.79","-1.11","431.64","431.65","424.26","238816.0","1.2150496E7","1.957362576E9"
"2021/07/08","432.63","-4.34","-0.99","437.20","438.56","432.60","216935.0","1.1358363E7","1.978425607E9"
"2021/07/07","436.97","-2.53","-0.58","439.29","439.29","435.78","178316.0","1.006626E7","1.997175857E9"
"2021/07/06","439.50","1.84","0.42","437.96","440.68","437.96","194159.0","9717769.0","2.009341406E9"
"2021/07/05","437.66","1.66","0.38","436.53","438.92","436.53","180180.0","1.0272028E7","2.002188227E9"
"2021/07/02","436.00","-0.34","-0.08","436.31","438.07","435.54","197297.0","9079435.0","1.994139725E9"
"2021/07/01","436.34","-2.50","-0.57","439.01","439.26","435.80","172563.0","1.1180646E7","1.994562787E9"
"2021/06/30","438.84","1.30","0.30","437.76","440.40","437.70","167362.0","9742304.0","2.004463421E9"
"2021/06/29","437.54","-2.44","-0.55","440.48","440.60","436.17","231753.0","1.0830217E7","1.998549193E9"
"2021/06/28","439.98","-0.42","-0.10","440.78","441.54","438.55","237759.0","9581616.0","2.008244932E9"
"2021/06/25","440.40","2.02","0.46","438.76","442.31","438.75","367173.0","1.3641077E7","2.010647147E9"
"2021/06/24","438.38","1.65","0.38","437.54","439.37","436.96","299670.0","1.4757591E7","2.00065431E9"
"2021/06/23","436.73","2.31","0.53","434.65","437.37","434.62","372077.0","1.2948629E7","1.994448114E9"
"2021/06/22","434.42","2.96","0.69","432.10","435.05","432.10","483816.0","1.068889E7","1.984024285E9"
"2021/06/21","431.46","-3.56","-0.82","434.57","434.57","429.52","242429.0","1.1226809E7","1.969491552E9"
"2021/06/18","435.02","0.29","0.07","434.82","436.69","434.39","230152.0","1.1858388E7","1.985283082E9"
"2021/06/17","434.73","-2.23","-0.51","436.61","436.63","432.78","200549.0","9788610.0","1.984305927E9"
"2021/06/16","436.96","2.83","0.65","434.19","437.47","433.88","306886.0","1.0148697E7","1.993180584E9"
"2021/06/15","434.13","0.91","0.21","433.41","434.99","432.48","336106.0","9806556.0","1.980939128E9"
"2021/06/14","433.22","0.44","0.10","432.70","433.59","431.28","236259.0","9678116.0","1.977360018E9"
"2021/06/11","432.78","3.43","0.80","429.61","433.42","429.61","328904.0","1.2612282E7","1.975339654E9"
"2021/06/10","429.35","1.19","0.28","428.23","430.87","427.50","267081.0","1.3607412E7","1.934875995E9"
"2021/06/09","428.16","-4.72","-1.09","432.35","432.53","428.16","248515.0","1.0987122E7","1.929072612E9"
"2021/06/08","432.88","-0.38","-0.09","433.21","435.02","431.71","323675.0","1.247413E7","1.9495874E9"
"2021/06/07","433.26","1.04","0.24","432.82","435.77","430.76","337934.0","1.2984086E7","1.95196032E9"
"2021/06/04","432.22","-1.65","-0.38","433.70","433.70","429.33","290325.0","1.1052572E7","1.944749758E9"
"2021/06/03","433.87","3.72","0.86","430.20","435.60","430.20","219810.0","1.0892833E7","1.950218424E9"
"2021/06/02","430.15","-0.17","-0.04","430.60","433.06","429.14","292515.0","1.1964642E7","1.935422602E9"
"2021/06/01","430.32","2.41","0.56","428.08","432.18","426.94","225690.0","9725597.0","1.935382434E9"
"2021/05/31","427.91","1.96","0.46","426.31","428.18","424.29","230910.0","1.0006287E7","1.924712201E9"
"2021/05/28","425.95","2.95","0.70","423.88","427.51","423.58","203179.0","9902133.0","1.915906075E9"
"2021/05/27","423.00","-0.54","-0.13","423.92","424.38","419.78","311199.0","1.7138032E7","1.90141939E9"
"2021/05/26","423.54","-0.81","-0.19","424.46","426.05","422.55","199314.0","9665219.0","1.909493233E9"
