일자,기관 합계,기타법인,개인,외국인 합계,전체
"2020/09/02","3065","117","867","-4049","0"
"2020/09/01","-4277","-108","-2252","6637","0"
"2020/08/31","3793","-38","1644","-5399","0"
"2020/08/28","-502","83","2623","-2204","0"
"2020/08/27","-4218","-10","325","3903","0"
"2020/08/26","-1264","-7","-307","1578","0"
"2020/08/25","4498","84","430","-5012","0"
"2020/08/24","1703","95","-54","-1744","0"
"2020/08/21","-5565","-164","-2685","8414","0"
"2020/08/20","2523","360","-470","-2413","0"
"2020/08/19","-2281","97","2071","113","0"
"2020/08/18","-4814","224","3626","964","0"
"2020/08/14","-559","-268","-3379","4206","0"
"2020/08/13","2230","-33","1385","-3582","0"
"2020/08/12","-1847","84","409","1354","0"
"2020/08/11","-3204","-199","2163","1240","0"
"2020/08/10","-1352","-363","-211","1926","0"
"2020/08/07","823","260","333","-1416","0"
"2020/08/06","-997","18","48","931","0"
"2020/08/05","-3949","54","-2962","6857","0"
"2020/08/04","-2240","44","366","1830","0"
"2020/08/03","3001","80","162","-3243","0"
"2020/07/31","2866","21","-305","-2582","0"
"2020/07/30","1051","12","-165","-898","0"
"2020/07/29","-2753","-302","1019","2036","0"
"2020/07/28","-2211","449","1033","729","0"
"2020/07/27","-1441","67","-1449","2823","0"
"2020/07/24","-3072","0","-644","3716","0"
"2020/07/23","8600","-129","-1516","-6955","0"
"2020/07/22","-677","388","73","216","0"
"2020/07/21","-3822","-484","930","3376","0"
"2020/07/20","-1403","-19","77","1345","0"
"2020/07/17","-37","24","-1078","1091","0"
"2020/07/16","-791","-131","-123","1045","0"
"2020/07/15","1014","100","3375","-4489","0"
"2020/07/14","401","116","-660","143","0"
"2020/07/13","-1071","65","-111","1117","0"
"2020/07/10","1435","-6","-4099","2670","0"
"2020/07/09","-3637","48","-162","3751","0"
"2020/07/08","-1023","-165","511","677","0"
"2020/07/07","-375","702","2152","-2479","0"
"2020/07/06","-2166","-376","2386","156","0"
"2020/07/03","-1261","-38","-234","1533","0"
"2020/07/02","-3539","7","-924","4456","0"
"2020/07/01","1149","700","-1091","-758","0"
"2020/06/30","207","-1123","1630","-714","0"
"2020/06/29","-2148","1064","725","359","0"
"2020/06/26","-1275","-749","-827","2851","0"
"2020/06/25","11262","473","-4171","-7564","0"
"2020/06/24","-2415","-661","2685","391","0"
"2020/06/23","1956","-82","-1868","-6","0"
"2020/06/22","-5394","22","-366","5738","0"
"2020/06/19","2439","-368","1802","-3873","0"
"2020/06/18","-1017","1152","-3092","2957","0"
"2020/06/17","-1386","-305","1055","636","0"
"2020/06/16","9348","-72","998","-10274","0"
"2020/06/15","-12217","-1144","-609","13970","0"
